# academic.paper_trend — 화장품 성분·주제별 월간 논문 수
#
# 소스가 다르면 세는 대상이 다르다. 절대값을 합치거나 이어붙이지 말 것.
#   PubMed      MeSH 확장 주제매칭. 'cosmetic' 이라는 단어가 없는 논문까지 닿는다.
#   Europe PMC  생명과학 색인. 프리프린트와 특허를 포함한다.
# 2019-01 'cosmetic' 이 각각 1205 / 843 인 것은 이견이 아니라 두 개의 다른 질문이다.
#
# 최근 2~3개월은 색인 지연으로 항상 과소집계된다. 하락으로 읽지 말 것.
# 절대 건수가 한 자릿수인 검색어(ethylhexyl triazone 등)는 배수를 쓰면 안 된다 —
# 연 논문 두세 편 차이가 3배로 보인다.
#
# PubMed 1월은 나머지 달의 1.65~2.40배다. 측정한 10개 검색어 전부에서 예외 없이 그렇고,
# Europe PMC 는 1.16배로 훨씬 약하다. 모든 성분이 같은 방향으로 튀므로 성분 얘기가 아니라
# 연초 게재일 몰림에 따른 색인 아티팩트다. 연 단위 비교(paper_growth)는 1월을 양쪽이 한
# 번씩 포함하므로 안전하고, 월별 계열(paper_trend)을 그리면 매년 1월에 봉우리가 선다.
source,query,period,count
europepmc,adenosine,2019-01-01,1919
europepmc,adenosine,2019-02-01,1457
europepmc,adenosine,2019-03-01,1573
europepmc,adenosine,2019-04-01,1577
europepmc,adenosine,2019-05-01,1590
europepmc,adenosine,2019-06-01,1454
europepmc,adenosine,2019-07-01,1591
europepmc,adenosine,2019-08-01,1503
europepmc,adenosine,2019-09-01,1467
europepmc,adenosine,2019-10-01,1644
europepmc,adenosine,2019-11-01,1672
europepmc,adenosine,2019-12-01,1632
europepmc,adenosine,2020-01-01,2172
europepmc,adenosine,2020-02-01,1743
europepmc,adenosine,2020-03-01,1791
europepmc,adenosine,2020-04-01,1995
europepmc,adenosine,2020-05-01,2005
europepmc,adenosine,2020-06-01,2143
europepmc,adenosine,2020-07-01,2276
europepmc,adenosine,2020-08-01,2120
europepmc,adenosine,2020-09-01,2252
europepmc,adenosine,2020-10-01,2295
europepmc,adenosine,2020-11-01,2265
europepmc,adenosine,2020-12-01,2189
europepmc,adenosine,2021-01-01,3057
europepmc,adenosine,2021-02-01,2336
europepmc,adenosine,2021-03-01,2510
europepmc,adenosine,2021-04-01,2310
europepmc,adenosine,2021-05-01,2396
europepmc,adenosine,2021-06-01,2494
europepmc,adenosine,2021-07-01,2541
europepmc,adenosine,2021-08-01,2327
europepmc,adenosine,2021-09-01,2383
europepmc,adenosine,2021-10-01,2367
europepmc,adenosine,2021-11-01,2459
europepmc,adenosine,2021-12-01,2421
europepmc,adenosine,2022-01-01,2991
europepmc,adenosine,2022-02-01,2417
europepmc,adenosine,2022-03-01,2742
europepmc,adenosine,2022-04-01,2466
europepmc,adenosine,2022-05-01,2462
europepmc,adenosine,2022-06-01,2610
europepmc,adenosine,2022-07-01,2670
europepmc,adenosine,2022-08-01,2832
europepmc,adenosine,2022-09-01,2945
europepmc,adenosine,2022-10-01,2837
europepmc,adenosine,2022-11-01,2616
europepmc,adenosine,2022-12-01,2625
europepmc,adenosine,2023-01-01,3020
europepmc,adenosine,2023-02-01,2575
europepmc,adenosine,2023-03-01,2641
europepmc,adenosine,2023-04-01,2325
europepmc,adenosine,2023-05-01,2504
europepmc,adenosine,2023-06-01,2312
europepmc,adenosine,2023-07-01,2303
europepmc,adenosine,2023-08-01,2305
europepmc,adenosine,2023-09-01,2306
europepmc,adenosine,2023-10-01,2273
europepmc,adenosine,2023-11-01,2381
europepmc,adenosine,2023-12-01,2252
europepmc,adenosine,2024-01-01,3035
europepmc,adenosine,2024-02-01,2396
europepmc,adenosine,2024-03-01,2355
europepmc,adenosine,2024-04-01,2375
europepmc,adenosine,2024-05-01,2497
europepmc,adenosine,2024-06-01,2414
europepmc,adenosine,2024-07-01,2642
europepmc,adenosine,2024-08-01,2516
europepmc,adenosine,2024-09-01,2462
europepmc,adenosine,2024-10-01,2601
europepmc,adenosine,2024-11-01,2558
europepmc,adenosine,2024-12-01,2458
europepmc,adenosine,2025-01-01,3170
europepmc,adenosine,2025-02-01,2551
europepmc,adenosine,2025-03-01,2747
europepmc,adenosine,2025-04-01,2843
europepmc,adenosine,2025-05-01,2787
europepmc,adenosine,2025-06-01,2639
europepmc,adenosine,2025-07-01,3044
europepmc,adenosine,2025-08-01,2674
europepmc,adenosine,2025-09-01,2646
europepmc,adenosine,2025-10-01,2803
europepmc,adenosine,2025-11-01,2813
europepmc,adenosine,2025-12-01,2673
europepmc,adenosine,2026-01-01,3054
europepmc,adenosine,2026-02-01,2447
europepmc,adenosine,2026-03-01,2723
europepmc,adenosine,2026-04-01,2532
europepmc,adenosine,2026-05-01,2267
europepmc,adenosine,2026-06-01,1639
europepmc,adenosine,2026-07-01,566
europepmc,adenosine,2026-08-01,235
europepmc,ascorbic acid,2019-01-01,835
europepmc,ascorbic acid,2019-02-01,680
europepmc,ascorbic acid,2019-03-01,726
europepmc,ascorbic acid,2019-04-01,722
europepmc,ascorbic acid,2019-05-01,756
europepmc,ascorbic acid,2019-06-01,706
europepmc,ascorbic acid,2019-07-01,714
europepmc,ascorbic acid,2019-08-01,691
europepmc,ascorbic acid,2019-09-01,719
europepmc,ascorbic acid,2019-10-01,768
europepmc,ascorbic acid,2019-11-01,780
europepmc,ascorbic acid,2019-12-01,865
europepmc,ascorbic acid,2020-01-01,904
europepmc,ascorbic acid,2020-02-01,805
europepmc,ascorbic acid,2020-03-01,867
europepmc,ascorbic acid,2020-04-01,833
europepmc,ascorbic acid,2020-05-01,915
europepmc,ascorbic acid,2020-06-01,1005
europepmc,ascorbic acid,2020-07-01,1006
europepmc,ascorbic acid,2020-08-01,964
europepmc,ascorbic acid,2020-09-01,1033
europepmc,ascorbic acid,2020-10-01,1049
europepmc,ascorbic acid,2020-11-01,987
europepmc,ascorbic acid,2020-12-01,1002
europepmc,ascorbic acid,2021-01-01,1379
europepmc,ascorbic acid,2021-02-01,1036
europepmc,ascorbic acid,2021-03-01,1198
