term,video_documents,comment_documents,video_keyness,comment_keyness
진정맑,47,39,249.02,49.87
진정맑은,47,39,249.02,49.87
올리고머,0,69,2.59,174.54
톤핏선,15,29,83.01,14.96
딘시,14,39,77.82,33.25
sunscreen,44,10,77.82,3.43
청초,57,49,42.99,6.23
물막,48,43,42.37,13.71
셀라보,7,57,41.5,13.15
이지워시,23,77,41.5,9.26
세라,49,14,32.42,4.68
맥시,10,37,3.36,31.58
조선미녀,41,71,31.13,6.9
선스크린,42,83,24.79,29.92
realbarrier,40,1,26.59,2.49
차단력,9,35,25.94,14.96
유브이,50,42,24.05,17.87
유브,50,42,24.05,17.87
순정,31,63,23.72,17.73
cera,39,1,23.06,1.66
레미디,70,62,23.02,9.24
착한박스,3,58,20.75,21.02
썬스틱,3,39,20.75,11.08
파란색,3,43,20.75,1.55
건강하시고,3,41,20.75,1.64
눈물이,3,47,20.75,1.96
파데프리로,3,58,20.75,4.75
선케어,30,58,20.1,8.17
허스텔러,14,26,19.45,9.62
sun,144,6,19.29,2.18
선앰플,27,59,18.16,7.87
레디,22,34,5.42,17.45
화장할,9,112,17.29,2.2
비프루브,14,47,15.56,7.48
쿨페어,23,21,15.56,7.84
후시다인,14,29,15.56,7.48
유튜버들,2,44,15.56,0.78
후니언님,2,2697,15.56,2.45
워터리,49,28,15.26,1.61
공동개발템,19,36,14.82,3.29
썬쿠션,3,76,10.38,14.77
스위스,2,75,2.22,14.58
프롬리,27,68,14.53,6.88
프롬리에,27,73,14.53,6.15
디펜스,32,37,14.27,11.84
씨뮤즈,1,49,5.19,13.85
울먹,3,54,2.59,13.71
alba,28,14,13.68,7.48
워터풀,37,59,8.21,13.6
마일드,122,117,13.29,9.81
보라,24,71,12.97,3.9
타고,4,36,12.97,1.49
투쿨,9,36,12.97,0.53
물광토너,4,38,12.97,4.05
니즈들,4,80,12.97,4.49
mood,70,4,3.12,12.47
goodal,46,14,5.95,12.47
pure,36,4,2.78,12.47
화장친구,18,49,12.32,8.91
생얼,6,41,12.11,1.16
싸이닉,13,27,12.11,4.99
차콜브라운,22,20,11.93,4.76
더마비,27,42,11.17,1.6
클리어베이지,33,27,11.02,5.37
파데프리,67,279,10.69,3.84
광고거절템,13,70,5.19,10.41
쓰고있는데,1,208,10.38,1.13
같아용,1,111,10.38,1.08
와중에,3,50,10.38,1.11
메이컵,1,48,10.38,1.13
후니언님은,1,108,10.38,2.86
언니는,3,232,10.38,1.38
부탁드려도,1,66,10.38,1.27
올영가서,1,42,10.38,1.06
와중,3,45,10.38,0.93
누르고,5,71,10.38,0.88
아니냐며,1,48,10.38,1.63
소개해주신,1,99,10.38,0.73
탐나요,1,43,10.38,1.07
바빠서,1,40,10.38,1.53
마린,29,37,10.38,6.32
쓰시나요,3,56,10.38,1.17
사용했는데,1,63,10.38,1.06
그랬는데,1,42,10.38,0.95
아시고,1,50,10.38,1.08
보고싶어요,1,154,10.38,1.04
모야,1,39,10.38,1.75
예쁘세요,1,57,10.38,1.03
엉엉,1,45,10.38,1.09
나가면,1,43,10.38,2.81
최고에요,1,92,10.38,0.84
파데프리템,7,35,10.38,6.41
차세안,5,80,10.38,2.43
오빠,1,106,10.38,2.1
바디용,3,39,10.38,4.99
기다렸습니다,1,50,10.38,0.8
사용하는데,1,79,10.38,0.94
영상보면서,1,112,10.38,1.29
올려주시면,1,49,10.38,1.13
구매했습니다,1,131,10.38,0.77
색상도,1,41,10.38,0.52
달려왔어요,1,43,10.38,0.91
헤메코,1,51,10.38,1.03
사용하신,1,57,10.38,0.87
리얼겟레디,6,157,7.26,10.1
뉴욕,3,54,1.22,9.8
프로바이오덤,31,17,9.77,3.45
히팅뷰러,46,52,9.75,4.26
스프링,58,4,9.57,0.78
athe,27,18,7.65,9.48
달바,54,233,9.2,9.41
리얼베리어,55,90,9.37,2.61
자작나무,44,152,9.34,5.96
투크베이지,44,38,9.34,3.74
moisture,85,3,9.3,1.66
barrier,51,4,9.3,1.39
목에,6,88,9.08,2.22
안하,6,44,9.08,1.52
셀리맥스,34,39,9.08,4.16
재조명,27,23,9.08,5.44
안하는,6,42,9.08,1.49
주근깨,6,91,9.08,3.1
피니셔,13,42,3.16,8.93
선에센스,16,34,8.82,3.01
보라색,9,69,8.65,1.82
클렌징폼으로,4,42,8.65,2.44
발라요,4,44,8.65,1.26
오에라,9,219,4.72,8.57
겟레디,30,244,8.46,3.89
노세범,37,60,7.58,8.45
daiso,64,10,8.43,2.29
로벡틴,15,97,8.3,4.89
아떼,50,282,8.27,4.74
mool,27,16,8.07,3.85
롱컬링,36,32,8.0,5.49
auto,40,2,7.88,1.25
액티브업,27,21,7.65,7.84
설명이,2,42,7.78,0.65
솔직하고,2,43,7.78,1.44
괜찮은가요,2,49,7.78,1.45
moisturizing,44,3,7.78,3.32
아침에는,2,39,7.78,1.0
있다가,2,38,7.78,0.85
화장전,2,61,7.78,1.96
curler,72,1,7.73,4.99
보송,39,30,7.69,1.89
유이크,85,456,7.69,5.11
기입,71,55,7.62,3.17
릴리프,65,40,7.61,6.39
수딩세럼,21,20,7.61,3.27
맑은,70,63,7.52,0.84
fusion,54,11,7.51,4.27
히로인,35,28,7.47,3.62
벤튼,22,74,7.46,5.5
jung,32,16,7.44,3.53
구달,96,311,7.4,4.25
바이옴,83,73,7.39,2.71
워터락,12,56,5.19,7.11
양산,5,36,6.23,7.1
cell,55,11,7.09,3.74
무스,15,38,3.46,6.95
텐션이,3,45,6.92,2.12
아묻따,3,99,6.92,1.22
글고,3,53,6.92,1.12
요즘에,7,80,6.92,1.24
