term,video_documents,comment_documents,video_keyness,comment_keyness
진정맑은,47,39,249.02,49.87
진정맑,47,39,249.02,49.87
올리고머,0,69,2.59,174.54
톤핏선,15,29,83.01,14.96
디오프러스,1,31,10.38,79.79
sunscreen,44,10,77.82,3.43
딘시,14,39,77.82,33.25
페더,1,30,10.38,77.3
구디너프,1,29,10.38,74.8
어반쉐이드,13,8,72.63,11.22
선스크린은,0,25,5.19,64.83
uv365,21,5,57.07,14.96
선캡,3,19,20.75,49.87
썬캡,2,19,7.78,49.87
영양레시피,3,17,10.38,44.88
청초,57,49,42.99,6.23
글레이어,4,33,2.59,42.39
물막,48,43,42.37,13.71
이지워시,23,77,41.5,9.26
셀라보,7,57,41.5,13.15
블리스텍스,7,13,41.5,3.88
베지,14,15,38.91,19.95
세라,49,14,32.42,4.68
맥시,10,37,3.36,31.58
조선미녀,41,71,31.13,6.9
아넷사,5,18,31.13,15.79
아쿠아티카,16,11,17.64,29.92
조선무화과,1,23,5.19,29.92
선스크린,42,83,24.79,29.92
vprove,10,11,28.53,7.48
베어핑크,15,12,27.67,10.81
블루라이트,3,21,10.38,27.43
realbarrier,40,1,26.59,2.49
용기가,4,27,25.94,1.13
덧바르기,4,35,25.94,7.48
이나,4,29,25.94,1.56
차단력,9,35,25.94,14.96
유브,50,42,24.05,17.87
유브이,50,42,24.05,17.87
순정,31,63,23.72,17.73
cera,39,1,23.06,1.66
레미디,70,62,23.02,9.24
에브리데이,12,14,22.48,9.35
에브리데,12,14,22.48,9.35
착한박스,3,58,20.75,21.02
써봤지만,3,25,20.75,0.9
건강하시고,3,41,20.75,1.64
선로션,7,14,20.75,18.7
썬스크린,23,9,20.75,6.23
매벗글,3,23,20.75,11.97
좋겠다는,3,28,20.75,1.81
눈물이,3,47,20.75,1.96
썬스틱,3,39,20.75,11.08
파데프리로,3,58,20.75,4.75
워터폼,3,21,20.75,7.84
밀크를,3,18,20.75,3.16
화장해,3,19,20.75,1.06
화장해도,3,18,20.75,1.1
파란색,3,43,20.75,1.55
써봤지,3,26,20.75,0.91
선케어,30,58,20.1,8.17
친구로,14,9,19.45,4.99
애칭은,0,38,2.59,19.45
허스텔러,14,26,19.45,9.62
sun,144,6,19.29,2.18
포스,1,22,5.19,19.12
두두등장,13,13,18.16,11.64
선앰플,27,59,18.16,7.87
포뷰트,13,13,18.16,11.64
오우즈너리,4,34,12.97,17.45
레디,22,34,5.42,17.45
화장할,9,112,17.29,2.2
더마블록,9,19,17.29,4.16
몽디에스,9,14,17.29,12.47
신청완료,0,25,5.19,16.21
웰모닝,4,25,8.65,16.21
후니언님,2,2697,15.56,2.45
유튜버들,2,44,15.56,0.78
후시다인,14,29,15.56,7.48
놀랬어요,2,20,15.56,1.09
체육대회,2,27,15.56,6.98
저녁에만,2,23,15.56,0.79
학교에서,2,26,15.56,2.93
그와중에,2,22,15.56,1.51
분사력,2,20,15.56,3.74
지성에,2,32,15.56,0.84
하늘,2,19,15.56,1.39
발리고,2,36,15.56,1.05
개학,2,23,15.56,5.44
지워도,2,22,15.56,3.82
비프루브,14,47,15.56,7.48
거절템,5,25,15.56,10.81
수부지에,2,37,15.56,0.71
예전보다,2,19,15.56,1.04
겟레디를,8,19,15.56,9.97
그와중,2,23,15.56,1.62
올려줘서,2,32,15.56,1.87
틀고,2,22,15.56,3.58
쿨페어,23,21,15.56,7.84
샤워하고,2,29,15.56,1.63
선제품,3,36,10.38,15.38
워터리,49,28,15.26,1.61
스플래쉬,22,11,14.92,7.48
공동개발템,19,36,14.82,3.29
썬쿠션,3,76,10.38,14.77
스위스,2,75,2.22,14.58
프롬리,27,68,14.53,6.88
프롬리에,27,73,14.53,6.15
