source,topic_id,quarters_ok_product,quarters_ok_all,delta_product_pp,delta_all_pp,difference_pp,sample_ok
video,백탁,0,3,-0.06,-0.25,-0.18,false
video,자극_눈시림,12,13,2.6,2.68,0.08,true
video,발림성,10,10,2.09,2.23,0.13,true
video,촉촉함_건조함,13,13,0.89,0.41,-0.47,true
video,끈적임_유분감,8,8,0.79,0.81,0.02,true
video,밀림_들뜸,1,1,1.03,0.93,-0.1,false
video,지속력_워터프루프,13,13,-0.84,-0.97,-0.13,true
video,톤업_메이크업베이스,13,13,-2.0,-2.36,-0.36,true
video,무기자차,13,13,1.75,2.22,0.47,true
video,유기자차,3,5,-0.5,0.28,0.78,false
video,혼합자차,3,3,-0.25,-0.19,0.05,false
video,SPF_PA,12,13,-2.72,-2.4,0.32,true
video,성분_신제품,13,13,-2.79,-3.38,-0.58,true
comment,백탁,12,12,-0.03,0.03,0.06,true
comment,자극_눈시림,13,13,1.35,1.24,-0.11,true
comment,발림성,13,13,0.85,0.79,-0.06,true
comment,촉촉함_건조함,13,13,0.12,0.1,-0.02,true
comment,끈적임_유분감,13,13,0.81,0.67,-0.14,true
comment,밀림_들뜸,13,13,0.16,0.17,0.01,true
comment,지속력_워터프루프,13,13,-0.78,-0.79,-0.0,true
comment,톤업_메이크업베이스,13,13,-5.54,-5.53,0.01,true
comment,무기자차,13,13,0.55,0.84,0.29,true
comment,유기자차,13,13,0.69,1.01,0.32,true
comment,혼합자차,7,7,-0.23,-0.24,-0.01,true
comment,SPF_PA,10,10,0.07,0.04,-0.04,true
comment,성분_신제품,13,13,1.97,1.67,-0.3,true
