topic_id,youtube_comment_pct,youtube_video_pct,commerce_review_pct,commerce_minus_video_pp,reading
촉촉함_건조함,16.16,18.21,23.02,4.81,
자극_눈시림,12.39,7.1,16.89,9.79,실사용 쪽이 훨씬 많이 말함
끈적임_유분감,9.97,6.48,16.71,10.23,실사용 쪽이 훨씬 많이 말함
발림성,5.43,5.86,16.53,10.67,실사용 쪽이 훨씬 많이 말함
백탁,2.56,0.31,12.09,11.78,영상 설명으로는 관측 불가 · 실사용 발화에만 있음
밀림_들뜸,1.93,2.78,6.76,3.98,
성분_신제품,14.46,13.58,4.18,-9.4,제작자 쪽이 훨씬 많이 말함 · 스펙·성분 언어
유기자차,7.63,4.94,1.51,-3.43,
톤업_메이크업베이스,9.34,13.89,1.16,-12.73,제작자 쪽이 훨씬 많이 말함 · 스펙·성분 언어
무기자차,12.84,10.18,0.62,-9.56,제작자 쪽이 훨씬 많이 말함 · 스펙·성분 언어
SPF_PA,1.44,4.94,0.36,-4.58,
지속력_워터프루프,4.62,8.95,0.18,-8.77,제작자 쪽이 훨씬 많이 말함 · 스펙·성분 언어
혼합자차,1.21,2.78,0.0,-2.78,
