bucket,topic_id,videos_matched_baseline,videos_matched_with_transcript,gained,gain_pct_point
장문,발림성,3,38,35,77.8
장문,끈적임_유분감,4,39,35,77.8
장문,자극_눈시림,8,36,28,62.2
장문,성분_신제품,14,39,25,55.6
장문,백탁,0,18,18,40.0
장문,촉촉함_건조함,25,43,18,40.0
장문,지속력_워터프루프,13,26,13,28.9
장문,유기자차,3,15,12,26.7
장문,SPF_PA,8,19,11,24.4
장문,톤업_메이크업베이스,20,30,10,22.2
장문,밀림_들뜸,1,10,9,20.0
장문,무기자차,6,14,8,17.8
장문,혼합자차,0,4,4,8.9
쇼츠,자극_눈시림,2,8,6,13.3
쇼츠,촉촉함_건조함,6,12,6,13.3
쇼츠,발림성,0,5,5,11.1
쇼츠,끈적임_유분감,1,5,4,8.9
쇼츠,밀림_들뜸,0,3,3,6.7
쇼츠,성분_신제품,0,2,2,4.4
쇼츠,백탁,2,3,1,2.2
쇼츠,톤업_메이크업베이스,1,2,1,2.2
쇼츠,지속력_워터프루프,1,1,0,0.0
쇼츠,무기자차,2,2,0,0.0
쇼츠,유기자차,1,1,0,0.0
쇼츠,혼합자차,0,0,0,0.0
쇼츠,SPF_PA,1,1,0,0.0
