quarter,category,topic_id,source,content_type,document_count,quarter_documents,quarter_mentions,composition,velocity_yoy,persistence,persistence_count,window_quarters,unique_ratio,channel_count,panel_channels,channel_diffusion,sample_ok,metric_version
2023Q3,선크림,백탁,youtube_video,long_form,0,66,133,0.0,,0.0,0,1,1.0,0,19,0.0,False,v0.2
2023Q4,선크림,백탁,youtube_video,long_form,1,48,116,0.00862,,0.0,0,2,1.0,1,16,0.031,False,v0.2
2024Q1,선크림,백탁,youtube_video,long_form,0,50,116,0.0,,0.0,0,3,1.0,0,17,0.0,False,v0.2
2024Q2,선크림,백탁,youtube_video,long_form,3,86,254,0.01181,,0.25,1,4,1.0,3,24,0.562,False,v0.2
2024Q3,선크림,백탁,youtube_video,long_form,2,71,158,0.01266,,0.5,2,4,1.0,2,22,0.545,False,v0.2
2024Q4,선크림,백탁,youtube_video,long_form,1,59,127,0.00787,,0.5,2,4,1.0,1,19,0.026,False,v0.2
2025Q1,선크림,백탁,youtube_video,long_form,0,60,168,0.0,,0.5,2,4,1.0,0,21,0.0,False,v0.2
2025Q2,선크림,백탁,youtube_video,long_form,3,121,309,0.00971,,0.5,2,4,1.0,2,28,0.495,False,v0.2
2025Q3,선크림,백탁,youtube_video,long_form,2,84,187,0.0107,,0.5,2,4,1.0,2,26,0.538,False,v0.2
2025Q4,선크림,백탁,youtube_video,long_form,0,59,145,0.0,,0.5,2,4,1.0,0,22,0.0,False,v0.2
2026Q1,선크림,백탁,youtube_video,long_form,3,76,173,0.01734,,0.75,3,4,1.0,2,26,0.498,False,v0.2
2026Q2,선크림,백탁,youtube_video,long_form,1,119,324,0.00309,,0.5,2,4,1.0,1,29,0.017,False,v0.2
2026Q3,선크림,백탁,youtube_video,long_form,2,65,112,0.01786,,0.5,2,4,1.0,2,25,0.54,False,v0.2
2023Q3,선크림,자극_눈시림,youtube_video,long_form,9,66,133,0.06767,,0.0,0,1,1.0,6,19,0.626,True,v0.2
2023Q4,선크림,자극_눈시림,youtube_video,long_form,4,48,116,0.03448,,0.0,0,2,1.0,3,16,0.567,False,v0.2
2024Q1,선크림,자극_눈시림,youtube_video,long_form,10,50,116,0.08621,,0.0,0,3,1.0,7,17,0.677,True,v0.2
2024Q2,선크림,자극_눈시림,youtube_video,long_form,24,86,254,0.09449,,0.25,1,4,1.0,10,24,0.684,True,v0.2
2024Q3,선크림,자극_눈시림,youtube_video,long_form,8,71,158,0.05063,-0.29,0.25,1,4,1.0,6,22,0.62,True,v0.2
2024Q4,선크림,자극_눈시림,youtube_video,long_form,14,59,127,0.11024,,0.5,2,4,1.0,5,19,0.582,True,v0.2
2025Q1,선크림,자극_눈시림,youtube_video,long_form,12,60,168,0.07143,-0.1881,0.5,2,4,1.0,8,21,0.677,True,v0.2
2025Q2,선크림,자극_눈시림,youtube_video,long_form,28,121,309,0.09061,-0.0419,0.25,1,4,1.0,14,28,0.73,True,v0.2
2025Q3,선크림,자극_눈시림,youtube_video,long_form,23,84,187,0.12299,0.8875,0.5,2,4,1.0,15,26,0.743,True,v0.2
2025Q4,선크림,자극_눈시림,youtube_video,long_form,15,59,145,0.10345,-0.0636,0.5,2,4,1.0,12,22,0.755,True,v0.2
2026Q1,선크림,자극_눈시림,youtube_video,long_form,28,76,173,0.16185,0.818,0.75,3,4,1.0,14,26,0.732,True,v0.2
2026Q2,선크림,자극_눈시림,youtube_video,long_form,23,119,324,0.07099,-0.2441,0.75,3,4,1.0,13,29,0.673,True,v0.2
2026Q3,선크림,자극_눈시림,youtube_video,long_form,13,65,112,0.11607,-0.0579,0.75,3,4,1.0,9,25,0.642,True,v0.2
2023Q3,선크림,발림성,youtube_video,long_form,4,66,133,0.03008,,0.0,0,1,1.0,4,19,0.605,False,v0.2
2023Q4,선크림,발림성,youtube_video,long_form,3,48,116,0.02586,,0.0,0,2,1.0,3,16,0.594,False,v0.2
2024Q1,선크림,발림성,youtube_video,long_form,5,50,116,0.0431,,0.0,0,3,1.0,4,17,0.598,True,v0.2
2024Q2,선크림,발림성,youtube_video,long_form,7,86,254,0.02756,,0.0,0,4,1.0,7,24,0.646,True,v0.2
2024Q3,선크림,발림성,youtube_video,long_form,7,71,158,0.0443,,0.0,0,4,1.0,6,22,0.624,True,v0.2
2024Q4,선크림,발림성,youtube_video,long_form,2,59,127,0.01575,,0.0,0,4,1.0,2,19,0.553,False,v0.2
