topic_id,topic_type,term,term_kind,video_docs,comment_docs,total_docs
SPF_PA,spec,SPF,latin,262,166,428
SPF_PA,spec,PA,latin,239,106,345
SPF_PA,spec,차단지수,ko,3,23,26
SPF_PA,spec,UVA,latin,8,14,22
SPF_PA,spec,UVB,latin,5,6,11
끈적임_유분감,attribute,기름,ko,231,2245,2476
끈적임_유분감,attribute,유분,ko,205,1902,2107
끈적임_유분감,attribute,끈적,ko,125,1185,1310
끈적임_유분감,attribute,번들,ko,51,513,564
무기자차,formula,무기자차,ko,226,1895,2121
무기자차,formula,징크,ko,102,259,361
무기자차,formula,미네랄,ko,63,95,158
무기자차,formula,티타늄,ko,54,92,146
무기자차,formula,TiO2,latin,1,0,1
무기자차,formula,Titanium Dioxide,mfds_inci,1,0,1
무기자차,formula,ZnO,latin,1,0,1
무기자차,formula,산화아연,mfds_inci,1,0,1
무기자차,formula,Zinc Oxide,mfds_inci,0,0,0
무기자차,formula,이산화티타늄,mfds_inci,0,0,0
밀림_들뜸,attribute,들뜸,ko,97,284,381
밀림_들뜸,attribute,밀려,ko,12,263,275
밀림_들뜸,attribute,밀림,ko,33,201,234
밀림_들뜸,attribute,뭉침,ko,33,104,137
발림성,attribute,제형,ko,484,2485,2969
발림성,attribute,발림,ko,132,876,1008
발림성,attribute,발림성,ko,56,731,787
발림성,attribute,텍스처,ko,99,116,215
백탁,attribute,하얗게,ko,41,302,343
백탁,attribute,하얘,ko,80,251,331
백탁,attribute,백탁,ko,27,303,330
선크림,product_category,선크림,ko,1244,8299,9543
선크림,product_category,썬크림,ko,26,1513,1539
선크림,product_category,선스틱,ko,99,517,616
선크림,product_category,선세럼,ko,125,484,609
선크림,product_category,선쿠션,ko,121,486,607
선크림,product_category,자외선차단제,ko,48,53,101
선크림,product_category,자외선차단제,mfds_inci,48,53,101
선크림,product_category,선젤,ko,27,41,68
선크림,product_category,선블록,ko,23,35,58
성분_신제품,event,성분,ko,945,5465,6410
성분_신제품,event,신상,ko,901,2623,3524
성분_신제품,event,출시,ko,355,1767,2122
성분_신제품,event,리뉴얼,ko,163,1508,1671
성분_신제품,event,신제품,ko,79,490,569
유기자차,formula,유기자차,ko,129,949,1078
유기자차,formula,화학적,ko,13,38,51
유기자차,formula,아보벤존,ko,1,10,11
유기자차,formula,아보벤존,mfds_inci,1,10,11
유기자차,formula,옥토크릴렌,ko,2,3,5
유기자차,formula,옥토크릴렌,mfds_inci,2,3,5
유기자차,formula,에틸헥실메톡시신나메이트,mfds_inci,0,1,1
유기자차,formula,Avobenzone,mfds_inci,0,0,0
유기자차,formula,Octocrylene,mfds_inci,0,0,0
자극_눈시림,attribute,트러블,ko,741,4552,5293
자극_눈시림,attribute,자극,ko,441,2847,3288
자극_눈시림,attribute,뒤집,ko,166,2084,2250
자극_눈시림,attribute,예민,ko,152,1938,2090
자극_눈시림,attribute,따갑,ko,14,572,586
자극_눈시림,attribute,눈시림,ko,44,445,489
자극_눈시림,attribute,붉어,ko,25,407,432
자극_눈시림,attribute,알러지,ko,22,331,353
자극_눈시림,attribute,눈 시림,ko,5,33,38
자극_눈시림,attribute,눈따가,ko,1,12,13
지속력_워터프루프,attribute,지속력,ko,508,1827,2335
지속력_워터프루프,attribute,워터프루프,ko,301,297,598
지속력_워터프루프,attribute,무너짐,ko,57,405,462
지속력_워터프루프,attribute,땀에,ko,13,76,89
지속력_워터프루프,attribute,방수,ko,15,13,28
지속력_워터프루프,attribute,재도포,ko,0,0,0
촉촉함_건조함,attribute,건조,ko,635,6802,7437
촉촉함_건조함,attribute,수분,ko,1198,5398,6596
촉촉함_건조함,attribute,촉촉,ko,570,3827,4397
촉촉함_건조함,attribute,보습,ko,654,2529,3183
추천_재구매,genre,추천,ko,4812,18155,22967
추천_재구매,genre,품절,ko,374,1422,1796
추천_재구매,genre,인생템,ko,302,949,1251
추천_재구매,genre,재구매,ko,245,691,936
톤업_메이크업베이스,attribute,톤업,ko,578,2934,3512
톤업_메이크업베이스,attribute,피부톤,ko,100,719,819
톤업_메이크업베이스,attribute,화이트닝,ko,40,52,92
톤업_메이크업베이스,attribute,톤 업,ko,24,25,49
톤업_메이크업베이스,attribute,메이크업베이스,ko,12,21,33
혼합자차,formula,혼합자차,ko,44,198,242
