channel_id,handle,channel_title,panel_role,role_basis,source_list,team_rank,team_role,channel_published_at,video_count_at_seed,subscriber_count_at_seed
UCqrNqg3UgVoD3Sa-F_TxuSA,director_pihyunjung,디렉터파이,product,team_message,team20,1,핵심,2016-03-23T09:46:27Z,696,1040000
UCR8th9vv4cSnfoY-Gx5hnbA,scarlet.sister,스칼렛 언니,product,team_message,team20,2,핵심,2021-10-24T15:42:09.245332Z,1048,120000
UCrlUlicedicJ5mlibqC62Eg,beautyacne_inssi,뷰드름 유튜버 인씨,product,team_message,team20,3,핵심,2015-07-11T04:52:32Z,1217,568000
UChaTUCM7bPBTJaIZQ83PNwQ,스완_현실남자관리,스완SWAN_현실남자관리,product,team_message,team20,4,핵심,2018-12-01T14:40:40Z,1175,507000
UCPkgjWwYOiMKqNJpwdA8lPA,SoraSalon,소살 Sora Salon,product,team_message,team20,5,핵심,2012-10-07T09:43:11Z,467,138000
UCQG5MOnlAl5nUDR_JFOrrxA,rim_on,림온 RIMON,product,team_message,team20,6,핵심,2021-08-20T05:17:43.000193Z,492,159000
UCXFd79l1HUumoM6spU4D1Cw,닥터블랑_drblanc,닥터블랑_예뻐지는비결,expert,team_message,team20,7,전문가 보정,2022-11-14T05:06:29.996779Z,330,192000
UC120Dx91wwLlbOjxCMBpZiQ,skindoctoryoung,빛나는 피부 닥터영,expert,team_message,team20,8,전문가 보정,2023-07-03T06:02:05.590105Z,391,21400
UCV5Q_31yEqkV15Q-AHZWE5A,dailyjenna,제나 dailyjenna,product,team_message,team20,9,핵심,2016-05-16T15:06:06Z,364,108000
UC5xK2Xdrud3-KGjkS1Igumg,ssinnim,ssin 씬님,product,team_message,team20,10,대중 반응,2008-05-07T00:43:21Z,1106,1410000
UCdpGQgQ3HOucwR8Wk2wzSHQ,gggyul,셀프케어 결,product,team_message,team20,11,실험 보조,2014-02-10T15:28:03Z,291,260000
UCH2mJnztSdNh8ADp2KmtUMQ,yootrue,Yoo True,product,team_message,team20,12,사용감 보조,2014-02-13T12:47:27Z,1135,601000
UC3ZQbE9FKR8TwHYqTNcIXQQ,hoonion,HOONION,product,team_message,team20,13,예비,2016-01-23T14:55:18Z,1137,404000
UCR19aHW_92TAKGLoTH01Z7w,ssongbee,쏭비SSONGBEE,product,team_message,team20,14,과거 자료,2019-12-06T03:22:54.883624Z,485,37800
UCTQGAYPtbnCEfW9IGx65kiw,minsco_,Minsco 민스코,product,team_message,team20,15,예비,2015-12-03T08:22:55Z,860,734000
UCehSxRApNbh93SbHSR9PNmg,hwa_ik_nam,화장품읽어주는남자 화읽남,expert,team_message,team20,16,성분 보조,2015-02-27T00:31:20Z,1186,48600
UC908f2Qj4Jz2bs9XzDdPMLg,pialnam,피알남 피부과전문의 김홍석,expert,team_message,team20,17,근거 보조,2019-01-20T14:10:35Z,593,197000
UCJT4XXjfaxSPxTe2Ui95zTQ,DoctorShort,숏닥터 Short Doctor,expert,team_message,team20,18,근거 보조,2023-08-10T04:29:08.119301Z,469,6090
UCK7v-eIsfif6b-Df8jJ343Q,일타의사박영진,일타의사 박영진,expert,team_message,team20,19,근거 보조,2024-03-02T08:34:23.517786Z,213,227000
UCjgZxM7HzZAac1otBC_sW2Q,맨즈뷰티훈Hoon,맨즈뷰티 훈Hoon,product,team_message,team20,20,세그먼트 보조,2022-03-10T08:23:48.837723Z,99,3270
UCFsSyiKOtZD7YNt8uXHRlzg,,오영주 OH!YOUNGJOO,product,name_rule_verified,seed45,,,2017-09-07T11:54:48Z,294,194000
UCSaEL-LEI41oepK5V5EXb2Q,,Kook연주,product,name_rule_verified,seed45,,,2021-03-21T12:55:01.587835Z,575,202000
UCYdYEVp2t0zD5xJu0hKWAgw,,조말랭Jomalraeng,product,name_rule_verified,seed45,,,2020-04-13T18:36:38.326676Z,398,31400
UC1EvL1p_Ov_8z7H9SHB_aug,,오늘도 찬스 Everyday Chan's,product,name_rule_verified,seed45,,,2022-03-08T03:24:42.073795Z,266,51100
UCat2CSzaple02nnhbUSJ2zg,,아우라M,product,name_rule_verified,seed45,,,2016-09-23T02:40:56Z,492,125000
UCAXfBEN6G-T1EEhfnOAXOwg,,손현호의 베스트피부,expert,name_rule_verified,seed45,,,2024-04-22T02:31:49.641178Z,80,3460
UCeW13kHjeb_sviMo30GGBEw,,단아한 이원장,expert,name_rule_verified,seed45,,,2015-03-17T21:43:27Z,267,4630
UCYfAankzCbhjIV4EsU4Vzdw,,한별두별[Hanna],product,name_rule_verified,seed45,,,2012-10-06T09:20:19Z,468,132000
UC7ThrNGPoJLuaicyKJ4350w,,별별뷰티-Byul Byul Beauty / 얼라이브 뷰티,product,name_rule_verified,seed45,,,2019-04-18T02:34:20Z,407,272000
UCxR4o2eiQz_nc2dUXGyysCw,,잠티,product,name_rule_verified,seed45,,,2013-12-04T06:52:55Z,81,131000
UCN820P3PLVl7v0nPdnXTtLQ,,피부장벽지킴이 민조이,product,name_rule_verified,seed45,,,2021-03-31T11:52:01.958094Z,135,13700
UCgDgtCXMcNZ51QZ16K3M5cQ,,유리하다,product,name_rule_verified,seed45,,,2020-11-02T11:55:21.34415Z,556,188000
UC7YZs-gjYRCuDRPPym9Pm9g,,또니DDonieBEAUTY,product,name_rule_verified,seed45,,,2024-02-28T13:45:59.363408Z,196,53100
UCW67yGQxNNMnLqRHyaTjygA,,Hong's MakeuPlay 홍이모,product,name_rule_verified,seed45,,,2018-11-02T08:22:13Z,940,396000
UC0TR0Ciw0rQSJzgU5NiwvRQ,,동네 의사 이상욱,expert,name_rule_verified,seed45,,,2022-12-13T05:58:17.202712Z,246,772000
UCxAdlKnB5u0a7A-iqRa5jYw,,단이 DANI,product,name_rule_verified,seed45,,,2019-02-22T13:47:34Z,579,236000
UCs2H0t2ru8cslY_myI-6zqg,,프리따 PRETTA,product,name_rule_verified,seed45,,,2019-01-24T13:48:48Z,613,327000
UCChdHmdkgTpk0iyuODYxJIw,,해니 haeni beauty,product,name_rule_verified,seed45,,,2018-03-27T08:22:50Z,472,479000
UCYsv-IHC-B-DiVMmJuqibcg,,제이나 [Jaina],product,name_rule_verified,seed45,,,2023-01-13T14:46:47.697591Z,212,281000
UCED7YKsAzQ2qi2e-cJ7yTEg,,merryview메리뷰,product,name_rule_verified,seed45,,,2023-11-03T02:25:36.268317Z,388,32800
